Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Hamming Distance,Inv. Hamming Distance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2
GON_076,100,0.042261966,0.317926106,7,0.631775984,0.777777778,0.222222222,FGF9;DKK1;PGD2;WNT4;NR0B1,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;UGR;AMH;GATA4;RSPO1;FOXL2;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_077,100,0.039855523,0.215457666,8,0.475497946,0.388888889,0.611111111,FGF9;SOX9;RSPO1;FOXL2;WNT4;NR0B1,CBX2;WT1mKTS;SRY;WT1pKTS;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_078,100,0.035908325,0.221621902,8,0.392960035,0.722222222,0.277777778,FGF9;SOX9;DKK1;PGD2;RSPO1;FOXL2;CTNNB1;WNT4,CBX2;WT1mKTS;SRY;WT1pKTS;DMRT1;NR5A1;UGR;AMH;GATA4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_079,100,0.031391002,0.240181079,8,0.539951474,0.555555556,0.444444444,FGF9;CBX2;WT1pKTS;SOX9;DMRT1;AMH;PGD2;RSPO1;FOXL2;NR0B1,WT1mKTS;SRY;NR5A1;DKK1;UGR;GATA4;CTNNB1;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_080,100,0.017497611,0.252121772,9,0.379418865,0.5,0.5,FGF9;DMRT1;NR5A1;DKK1;UGR;AMH;GATA4;RSPO1;FOXL2;WNT4;NR0B1,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;PGD2;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_081,100,0.048232153,0.115807343,8.333333333,0.505030835,0.5,0.5,FGF9;SOX9;DMRT1;NR5A1;DKK1;AMH;PGD2;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,CBX2;WT1mKTS;SRY;WT1pKTS;UGR;GATA4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_082,100,0.059050192,0.279773926,7,0.609195465,0.333333333,0.666666667,FGF9;CBX2;SOX9;DMRT1;NR5A1;AMH;PGD2;FOXL2;WNT4;NR0B1,WT1mKTS;SRY;WT1pKTS;DKK1;UGR;GATA4;RSPO1;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_083,100,0.050964191,0.285612456,7,0.55186171,0.5,0.5,FGF9;WT1mKTS;WT1pKTS;SOX9;AMH;PGD2;RSPO1;FOXL2;CTNNB1;WNT4,CBX2;SRY;DMRT1;NR5A1;DKK1;UGR;GATA4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_084,100,0.048374747,0.449720887,7,0.583525853,0.444444444,0.555555556,FGF9;DMRT1;DKK1;PGD2;FOXL2;WNT4,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;NR5A1;UGR;AMH;GATA4;RSPO1;CTNNB1;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_085,100,0.06640368,0.216521617,6,0.527779629,0.111111111,0.888888889,FGF9;CBX2;WT1mKTS;SRY;SOX9;DMRT1;NR5A1;DKK1;UGR;PGD2;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,WT1pKTS;AMH;GATA4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
