Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Hamming Distance,Inv. Hamming Distance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2
EMT_1601,16,0.1612963061146632,0.5301958110338844,3,0.7956381709433997,0.1333333333333333,0.8666666666666667,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1602,16,0.1362172951743462,0.6010580632129487,3,0.8055294393720221,0.1333333333333333,0.8666666666666667,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1603,16,0.1039561649330508,0.3318537520843711,4,0.6617872874561934,0.2666666666666666,0.7333333333333333,SNAI2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1604,16,0.0707913838480808,0.2568621937657856,6,0.4677165979147729,0.0666666666666666,0.9333333333333332,miR200a;miR200c;miR200b;miR34a;miR141;miR101,miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1605,16,0.1245733605745161,0.4333978848112067,3,0.7327747460133084,0.8,0.2,TWIST1;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TWIST1;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1606,16,0.1757792952553659,0.6552879314845902,3,0.7513267654583579,0.2,0.8,TWIST1;ZEB2;miR200c;miR200b;miR34a;miR141;miR101,TWIST1;ZEB2;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1607,16,0.0545543372049545,0.5064097296253026,6,0.5860986969273627,0.8,0.2,miR200a;miR200c;miR34a;miR141;miR101,miR200a;miR200c;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1608,16,0.1517460414754996,0.4485060753214009,4,0.7368706387716828,0.4,0.6,ZEB1;ZEB2;FOXC2,ZEB1;ZEB2;FOXC2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1609,16,0.1204990704402952,0.6159445564189245,3,0.7682271464604256,0.0,1.0,miR200a;miR200c;miR200b;miR34a;miR141,miR200a;miR200c;miR200b;miR34a;miR141,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_1610,16,0.0310928097335656,0.3356463969281769,7,0.5280478526322979,0.4,0.6,TGFbeta;ZEB1;ZEB2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TGFbeta;ZEB1;ZEB2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2001,20,0.0347979285308286,0.2599014657929679,7,0.4797527204058655,0.4,0.6,SNAI1;TGFbeta;ZEB1;SNAI2;miR200c,SNAI1;TGFbeta;ZEB1;SNAI2;miR200c,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2002,20,0.0643573246527507,0.5179682896103971,5,0.5109756173253003,0.1333333333333333,0.8666666666666667,TGFbeta;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TGFbeta;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2003,20,0.1094048111390884,0.4815301421441789,4,0.7151381315992559,0.8,0.2,SNAI1;miR200a;miR200c;miR200b;miR34a,SNAI1;miR200a;miR200c;miR200b;miR34a,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2004,20,0.100889535509521,0.6705137234585083,4,0.6985837131272629,0.7333333333333333,0.2666666666666666,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;miR200c;miR101,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;miR200c;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2005,20,0.019518502160781,0.3606684095465449,7,0.6117760154605304,0.8,0.2,ZEB2;miR200c;miR34a;miR141;miR101,ZEB2;miR200c;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2006,20,0.0572556331414103,0.2639761461821179,5,0.6242515898759344,0.2,0.8,miR34a;miR101,miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2007,20,0.0998008907644282,0.4714393849713524,4,0.5957299267022124,0.8,0.2,miR200b;miR141;miR101,miR200b;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2008,20,0.0938753068518349,0.4163971007018337,4,0.6773939288042045,0.2666666666666666,0.7333333333333333,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2009,20,0.0162805228818712,0.2333481750887305,6,0.4584145517647453,0.5333333333333333,0.4666666666666667,SNAI1;TGFbeta;ZEB1;SNAI2;ZEB2;FOXC2;miR200a,SNAI1;TGFbeta;ZEB1;SNAI2;ZEB2;FOXC2;miR200a,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2010,20,0.1289902425992296,0.4364090078817533,4,0.688390970890953,0.2666666666666666,0.7333333333333333,TGFbeta;SNAI2;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141,TGFbeta;SNAI2;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2401,24,0.1128778897861682,0.5310399897622374,4,0.7042980756751206,0.4666666666666667,0.5333333333333333,TGFbeta;ZEB1;ZEB2;miR101,TGFbeta;ZEB1;ZEB2;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2402,24,0.0305784829071765,0.2369518412753314,6,0.4168460306813513,0.5333333333333333,0.4666666666666667,ZEB1;miR34a;miR101,ZEB1;miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2403,24,0.0846590703385335,0.3063894831375422,4,0.500489158619023,0.5333333333333333,0.4666666666666667,TGFbeta;TWIST1;SNAI2,TGFbeta;TWIST1;SNAI2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2404,24,0.0085497661147431,0.3712875501242133,7,0.5398363192202346,0.1333333333333333,0.8666666666666667,SNAI2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2405,24,0.036826103341051,0.280595869993243,7,0.362009892509968,0.4,0.6,SNAI2;ZEB2,SNAI2;ZEB2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2406,24,0.1396345216903866,0.4467663568260571,4,0.6639084793057869,0.7333333333333333,0.2666666666666666,miR200c;miR200b;miR34a;miR141;miR101,miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2407,24,0.0828281058692184,0.2790189522685822,6,0.5119499436777128,0.1333333333333333,0.8666666666666667,miR200a;miR200c;miR200b;miR34a;miR141,miR200a;miR200c;miR200b;miR34a;miR141,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2408,24,0.0677192701628514,0.4333451104188749,4,0.7404832748376434,0.4,0.6,ZEB2,ZEB2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2409,24,0.0670166622127022,0.383925254178011,4,0.7297914053718092,0.4666666666666667,0.5333333333333333,SNAI1;TGFbeta;TWIST1;SNAI2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR101,SNAI1;TGFbeta;TWIST1;SNAI2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2410,24,0.1659629044968023,0.4750668314230739,4,0.6223891749864333,0.5333333333333333,0.4666666666666667,TGFbeta;ZEB1;FOXC2;miR34a;miR101,TGFbeta;ZEB1;FOXC2;miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2801,28,0.022804910455789,0.3306917120329724,6,0.4617675125134341,0.2666666666666666,0.7333333333333333,SNAI1;TGFbeta;SNAI2,SNAI1;TGFbeta;SNAI2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2802,28,0.0253662472142092,0.2771273614971756,6,0.4991998670824586,0.6,0.4,ZEB1;TWIST2;FOXC2;miR200a;miR200b;miR34a;miR141;miR101,ZEB1;TWIST2;FOXC2;miR200a;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2803,28,0.0578383259307712,0.3706284424932065,7,0.4419470658010245,0.6,0.4,SNAI2;ZEB2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI2;ZEB2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2804,28,0.0438898144929591,0.5279192185030143,4,0.6827800050359536,0.7333333333333333,0.2666666666666666,SNAI1;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c;miR200b;miR34a,SNAI1;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c;miR200b;miR34a,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2805,28,0.0386173371518673,0.2812396176325582,5,0.4182307343058131,0.4,0.6,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2806,28,0.1378312986532813,0.4164012462182795,4,0.6900197052021669,0.3333333333333333,0.6666666666666666,ZEB2,ZEB2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2807,28,0.0758525550287688,0.4882651171888515,5,0.5839854280313242,0.0666666666666666,0.9333333333333332,miR200a;miR200c;miR200b;miR34a;miR101,miR200a;miR200c;miR200b;miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2808,28,0.1430162898733055,0.4614806667128526,4,0.7771925085387416,0.6666666666666666,0.3333333333333333,FOXC2;miR200c;miR200b;miR34a;miR101,FOXC2;miR200c;miR200b;miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2809,28,0.0783328189747878,0.2486899865626813,7,0.4543709947637278,0.8666666666666667,0.1333333333333333,miR200a;miR200b;miR34a;miR141;miR101,miR200a;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
EMT_2810,28,0.0364119969990186,0.3905827918223342,7,0.4214434199299592,0.8,0.2,SNAI1;ZEB1;SNAI2;TWIST2;FOXC2,SNAI1;ZEB1;SNAI2;TWIST2;FOXC2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101
