Network,Number of Swaps,PC1 Variance,Influence Team Strength,Total Number of Swaps
PLU_070_05,35,0.5295314301837049,0.0678527363024856,70
PLU_070_06,35,0.5153375471070629,0.0443855868090119,70
PLU_070_07,35,0.5717485927244833,0.1568285039137619,70
PLU_070_08,35,0.3898175841214923,0.0695723897674998,70
PLU_070_09,35,0.3636930155290583,0.0236163441870386,70
PLU_070_10,35,0.2601697375880682,0.0845874041114164,70
PLU_070_11,35,0.3419394808452596,0.0165643496930463,70
PLU_070_12,35,0.4343404149798956,0.0532272568270016,70
PLU_070_13,35,0.3909119820705866,0.0789462884375603,70
PLU_070_14,35,0.4361665439623534,0.061194247008764,70
PLU_070_15,35,0.3873231037753446,0.0371752410602785,70
PLU_070_16,35,0.4623265438304151,0.0573010335140953,70
PLU_070_17,35,0.2770632745193952,0.1060940912857762,70
PLU_070_18,35,0.4475009602632355,0.0449203723178384,70
PLU_070_19,35,0.6257530660332252,0.1275345296014234,70
PLU_070_20,35,0.3949518210125821,0.0669385204149465,70
PLU_070_21,35,0.2285901269021536,0.0212975654867212,70
PLU_070_22,35,0.5198740847884197,0.0422250879367228,70
PLU_070_23,35,0.3529925024875296,0.0970917151549435,70
PLU_070_24,35,0.3992957608552356,0.103377522025643,70
PLU_070_25,35,0.2076271250980248,0.0206407786481375,70
PLU_070_26,35,0.4900492800034584,0.0316337492797446,70
PLU_070_27,35,0.3059888468586917,0.0353898877629654,70
PLU_070_28,35,0.4507286917950889,0.0548058233752502,70
PLU_070_29,35,0.2626365011121256,0.0618507343775193,70
PLU_070_30,35,0.456352657470336,0.1186418732029152,70
PLU_070_31,35,0.420843188733451,0.1080481802016017,70
PLU_070_32,35,0.5054818327620129,0.0813289922520053,70
PLU_070_33,35,0.4480270394169609,0.0461759049249437,70
PLU_070_34,35,0.390910145634891,0.0311223101363329,70
PLU_070_35,35,0.42638353336017,0.0436224971944728,70
PLU_070_36,35,0.6135045202596945,0.0915305282728099,70
PLU_070_37,35,0.5759545861438032,0.0436949116296997,70
PLU_070_38,35,0.2924641150590024,0.1064589512322606,70
PLU_070_39,35,0.5210856420694554,0.0337408806852894,70
PLU_070_40,35,0.281887976416433,0.0346500688537511,70
PLU_070_41,35,0.6255622183236107,0.1370345024788778,70
PLU_070_42,35,0.3673573710806346,0.0400077522338976,70
PLU_070_43,35,0.2999845340045896,0.0360397564676368,70
PLU_070_44,35,0.3513749302844224,0.043085429752076,70
PLU_070_45,35,0.5553795717996481,0.0615887850949341,70
PLU_070_46,35,0.4371744557850025,0.0897230245097326,70
PLU_070_47,35,0.4347017591458608,0.0642255769974883,70
PLU_070_48,35,0.2818186768694493,0.0330724250399195,70
PLU_070_49,35,0.2289292959002881,0.0952474677500423,70
PLU_070_50,35,0.4501308590968886,0.0584496199728783,70
PLU_080_01,40,0.332909201208463,0.0694812992395483,80
PLU_080_02,40,0.6004162911847445,0.1513201085829014,80
PLU_080_03,40,0.3324166188909379,0.0249332683015917,80
PLU_080_04,40,0.4229071356186618,0.0516238172221717,80
PLU_080_05,40,0.4925617036567895,0.0383731384995442,80
PLU_080_06,40,0.5297361970466015,0.1538336351001243,80
PLU_080_07,40,0.3550338782959681,0.0468346340364607,80
PLU_080_08,40,0.2413427333649527,0.0326775037703292,80
PLU_080_09,40,0.4387106058972259,0.0804795136480831,80
PLU_080_10,40,0.5235742809764141,0.0404763445106658,80
PLU_080_11,40,0.2633818418373368,0.0899431920899317,80
PLU_080_12,40,0.3579256546747824,0.0353195493125463,80
PLU_080_13,40,0.3483928263372406,0.0235662101758053,80
PLU_080_14,40,0.2479187535543089,0.0182565360832825,80
PLU_080_15,40,0.2512163645953682,0.0865571245476659,80
PLU_080_16,40,0.3073137363755001,0.0923295653604518,80
PLU_080_17,40,0.5580296180627812,0.0735192275012243,80
PLU_080_18,40,0.3708625309128829,0.1038836491933698,80
PLU_080_19,40,0.3541612967131031,0.0238377903997038,80
PLU_080_20,40,0.5280802234001979,0.0545547337932004,80
PLU_080_21,40,0.3233897804864656,0.0214989231855338,80
PLU_080_22,40,0.2308477573240325,0.0695162432472048,80
PLU_080_23,40,0.3711279308906049,0.0321572370504172,80
PLU_080_24,40,0.448066208524128,0.0501508842992766,80
PLU_080_25,40,0.280221396359,0.0989387477073192,80
PLU_080_26,40,0.3309574510632656,0.0440372483405917,80
PLU_080_27,40,0.5922608956581515,0.0729682255764395,80
PLU_080_28,40,0.2861146249492999,0.0389817863347714,80
PLU_080_29,40,0.4600434984403532,0.0417603935940821,80
PLU_080_30,40,0.4068845278571598,0.0943807386353229,80
PLU_080_31,40,0.4382337620909676,0.0625662423728982,80
PLU_080_32,40,0.5151380627109654,0.0794078466987115,80
PLU_080_33,40,0.3944942106140328,0.1091844501734608,80
PLU_080_34,40,0.4506772466572086,0.0944964825257541,80
PLU_080_35,40,0.4660110891922067,0.0809236189094038,80
