Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
GON_91_45,10,0.122008007,0.344884323,6.666666667,0.542164081,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1;RSPO1,FOXL2;WNT4;CTNNB1;NR0B1,DKK1;SRY;WT1pKTS;FGF9;CBX2;NR5A1;AMH;SOX9;DMRT1,PGD2;WT1mKTS;UGR;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,0.277777778,0.722222222
GON_91_46,10,0.119835438,0.300254375,6,0.600131241,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;AMH;FOXL2;SOX9;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,CBX2;UGR;NR5A1;GATA4,DKK1;WT1mKTS;SRY;WT1pKTS;CBX2;UGR;NR5A1;AMH;GATA4,PGD2;FGF9;FOXL2;SOX9;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,0.722222222,0.277777778
GON_91_47,10,0.011426071,0.278919892,7,0.424711691,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;AMH;FOXL2;SOX9;GATA4;NR0B1,NR5A1;DMRT1;WNT4;RSPO1;CTNNB1,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,PGD2;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.277777778,0.722222222
GON_91_48,10,0.097578289,0.314454995,6,0.614125695,DKK1;CBX2;NR5A1;AMH;SOX9;DMRT1,PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;UGR;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;WT1pKTS;UGR;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;FGF9;CBX2;NR5A1;AMH;SOX9;DMRT1,0.833333333,0.166666667
GON_91_49,10,0.047412258,0.270135426,8,0.428607641,DKK1;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,PGD2;SRY;NR5A1;FOXL2;GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;WT1pKTS;FGF9;CBX2;UGR;AMH;SOX9,0.333333333,0.666666667
GON_91_05,10,0.16082578,0.343736295,6,0.513815234,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;FGF9;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;WT1pKTS;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,0.888888889,0.111111111
GON_91_50,10,0.76533801,0.56072236,1,0.960609122,DKK1;WT1mKTS;SRY;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,PGD2;WT1pKTS;FOXL2;DMRT1,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,,0.222222222,0.777777778
GON_91_06,10,0.213372625,0.586538352,3,0.789410187,DKK1;PGD2;WT1mKTS;SRY;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,WT1pKTS;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,0.944444444,0.055555556
GON_91_07,10,0.050222493,0.33329877,6,0.454146662,DKK1;PGD2;WT1mKTS;SRY;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,WT1pKTS;FGF9;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,PGD2;WT1pKTS;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,0.111111111,0.888888889
GON_91_08,10,0.092801408,0.329326073,7,0.443752853,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1,FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1;RSPO1,PGD2;FOXL2;WNT4;CTNNB1;NR0B1,0.111111111,0.888888889
GON_91_09,10,0.04334394,0.14004803,7,0.442806875,DKK1;PGD2;UGR;AMH;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;NR5A1;SOX9;GATA4;DMRT1,PGD2;WT1mKTS;FGF9;CBX2;FOXL2;DMRT1;RSPO1,DKK1;SRY;WT1pKTS;UGR;NR5A1;AMH;SOX9;GATA4;WNT4;CTNNB1;NR0B1,0.555555556,0.444444444
GON_93_00,10,0.029534254,0.335474463,6,0.42262038,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;RSPO1,CBX2;DMRT1;WNT4;CTNNB1;NR0B1,PGD2;FGF9;CBX2;SOX9;DMRT1,DKK1;WT1mKTS;SRY;WT1pKTS;UGR;NR5A1;AMH;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,0.666666667,0.333333333
GON_93_01,10,0.053561932,0.202826639,7,0.35960119,DKK1;PGD2;FGF9;CBX2;UGR;AMH;FOXL2;SOX9;DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,WT1mKTS;SRY;WT1pKTS;NR5A1;GATA4,WT1mKTS;SRY;WT1pKTS;NR5A1;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;FGF9;CBX2;UGR;AMH;SOX9;DMRT1,0.722222222,0.277777778
