Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
15R200_04,200,0.008134068,0.089265335,21,0.196605386,BHLHE40;TEAD4;NEUROD1;KLF4;MYC;INSM1;PAX5;SOX11;SOX2;FOXA2;ASCL1;ETS2;FOXA1;LEF1;ELF3;FLI1;TCF12;CBFA2T2,REST;SMAD3;ZEB1;CEBPD;MITF;NFKB1;TCF3;TCF7L2;ATF2;PBX1;KDM5B;MYB;POU3F2;TCF4;OVOL2,BHLHE40;REST;TEAD4;KLF4;MYC;MITF;TCF3;ATF2;ASCL1;PBX1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;OVOL2,SMAD3;ZEB1;CEBPD;NEUROD1;INSM1;PAX5;NFKB1;SOX11;TCF7L2;SOX2;FOXA2;ETS2;FOXA1;POU3F2;CBFA2T2;TCF4,0.515151515,0.484848485
15R200_05,200,0.030838943,0.115098421,20,0.267832793,BHLHE40;REST;SMAD3;ZEB1;CEBPD;NEUROD1;KLF4;MYC;MITF;NFKB1;TCF7L2;SOX2;ASCL1;ETS2;PBX1;FOXA1;CBFA2T2;OVOL2,TEAD4;INSM1;PAX5;SOX11;TCF3;ATF2;FOXA2;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;TCF4,BHLHE40;REST;TEAD4;CEBPD;NEUROD1;MITF;PAX5;NFKB1;TCF7L2;ATF2;SOX2;FOXA2;ASCL1;FOXA1;LEF1;KDM5B;MYB;FLI1;TCF12;POU3F2,SMAD3;ZEB1;KLF4;MYC;INSM1;SOX11;TCF3;ETS2;PBX1;ELF3;CBFA2T2;TCF4;OVOL2,0.545454545,0.454545455
15R200_06,200,0.012657084,0.131151753,20,0.420983797,BHLHE40;REST;SMAD3;ZEB1;TEAD4;NEUROD1;KLF4;MYC;INSM1;PAX5;NFKB1;SOX11;TCF7L2;ATF2;SOX2;PBX1;FOXA1;ELF3;KDM5B;TCF12;POU3F2;TCF4;OVOL2,CEBPD;MITF;TCF3;FOXA2;ASCL1;ETS2;LEF1;MYB;FLI1;CBFA2T2,REST;NEUROD1;KLF4;INSM1;PAX5;SOX11;TCF3;ATF2;ASCL1;ETS2;LEF1;ELF3;KDM5B;MYB;POU3F2;CBFA2T2;OVOL2,BHLHE40;SMAD3;ZEB1;TEAD4;CEBPD;MYC;MITF;NFKB1;TCF7L2;SOX2;FOXA2;PBX1;FOXA1;FLI1;TCF12;TCF4,0.545454545,0.454545455
15R200_07,200,0.011875726,0.171035998,18,0.283193169,BHLHE40;REST;TEAD4;MYC;ATF2;SOX2;FOXA2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;TCF12,SMAD3;ZEB1;CEBPD;NEUROD1;KLF4;INSM1;MITF;PAX5;NFKB1;SOX11;TCF3;TCF7L2;ASCL1;ETS2;FLI1;POU3F2;CBFA2T2;TCF4;OVOL2,BHLHE40;REST;ZEB1;KLF4;INSM1;NFKB1;TCF7L2;SOX2;ASCL1;PBX1;ELF3;FLI1;POU3F2;TCF4;OVOL2,SMAD3;TEAD4;CEBPD;NEUROD1;MYC;MITF;PAX5;SOX11;TCF3;ATF2;FOXA2;ETS2;FOXA1;LEF1;KDM5B;MYB;TCF12;CBFA2T2,0.575757576,0.424242424
15R200_08,200,0.013456742,0.057091239,23,0.235116473,BHLHE40;REST;ZEB1;CEBPD;KLF4;MYC;MITF;NFKB1;SOX11;TCF3;TCF7L2;SOX2;ASCL1;ETS2;LEF1;KDM5B;OVOL2,SMAD3;TEAD4;NEUROD1;INSM1;PAX5;ATF2;FOXA2;PBX1;FOXA1;ELF3;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4,SMAD3;CEBPD;MITF;SOX11;TCF3;ATF2;ETS2;FOXA1;MYB;POU3F2;OVOL2,BHLHE40;REST;ZEB1;TEAD4;NEUROD1;KLF4;MYC;INSM1;PAX5;NFKB1;TCF7L2;SOX2;FOXA2;ASCL1;PBX1;LEF1;ELF3;KDM5B;FLI1;TCF12;CBFA2T2;TCF4,0.484848485,0.515151515
15R200_09,200,0.034385616,0.10262705,21,0.33190692,BHLHE40;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;INSM1;MITF;PAX5;NFKB1;SOX11;TCF3;TCF7L2;ATF2;SOX2;ASCL1;ETS2;PBX1;FOXA1;LEF1;ELF3;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4,REST;MYC;FOXA2;KDM5B;OVOL2,BHLHE40;REST;SMAD3;TEAD4;CEBPD;NEUROD1;KLF4;MYC;MITF;NFKB1;TCF7L2;ATF2;FOXA2;ETS2;FOXA1;LEF1;ELF3;KDM5B;MYB;CBFA2T2;OVOL2,ZEB1;INSM1;PAX5;SOX11;TCF3;SOX2;ASCL1;PBX1;FLI1;TCF12;POU3F2;TCF4,0.515151515,0.484848485
15R200_10,200,0.019957225,0.215971743,19,0.350961104,BHLHE40;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;MYC;INSM1;PAX5;NFKB1;SOX11;TCF3;TCF7L2;ATF2;SOX2;FOXA2;ETS2;PBX1;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4,REST;MITF;ASCL1;OVOL2,BHLHE40;ZEB1;NEUROD1;KLF4;MYC;INSM1;MITF;PAX5;SOX11;TCF3;TCF7L2;ATF2;SOX2;FOXA2;ASCL1;ETS2;FOXA1;LEF1;ELF3;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,REST;SMAD3;TEAD4;CEBPD;NFKB1;PBX1,0.242424242,0.757575758
15R300_01,300,0.005924716,0.103243056,20,0.241997503,BHLHE40;REST;SMAD3;TEAD4;NEUROD1;KLF4;MYC;INSM1;MITF;PAX5;TCF3;TCF7L2;ATF2;FOXA2;PBX1;FOXA1;LEF1;ELF3;KDM5B;FLI1;TCF12;POU3F2;CBFA2T2,ZEB1;CEBPD;NFKB1;SOX11;SOX2;ASCL1;ETS2;MYB;TCF4;OVOL2,BHLHE40;REST;SMAD3;ZEB1;TEAD4;NEUROD1;KLF4;MYC;INSM1;PAX5;SOX11;TCF3;TCF7L2;ATF2;ASCL1;ETS2;FOXA1;ELF3;KDM5B;MYB;FLI1;POU3F2;CBFA2T2;TCF4;OVOL2,CEBPD;MITF;NFKB1;SOX2;FOXA2;PBX1;LEF1;TCF12,0.363636364,0.636363636
15R300_02,300,0.016320782,0.281905311,19,0.424155552,BHLHE40;REST;SMAD3;CEBPD;NEUROD1;KLF4;INSM1;PAX5;SOX11;TCF3;TCF7L2;ATF2;SOX2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;KDM5B;MYB;FLI1;TCF12;POU3F2;CBFA2T2;TCF4;OVOL2,ZEB1;TEAD4;MYC;MITF;NFKB1;ELF3,REST;SMAD3;CEBPD;INSM1;PAX5;NFKB1;TCF3;ATF2;SOX2;FOXA2;ASCL1;ETS2;FOXA1;LEF1;KDM5B;MYB;FLI1;TCF12;TCF4;OVOL2,BHLHE40;ZEB1;TEAD4;NEUROD1;KLF4;MYC;MITF;SOX11;TCF7L2;PBX1;ELF3;POU3F2;CBFA2T2,0.272727273,0.727272727
15R300_03,300,0.027001426,0.164011939,18,0.291463769,BHLHE40;REST;SMAD3;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;INSM1;MITF;PAX5;NFKB1;SOX11;TCF3;TCF7L2;FOXA2;ASCL1;ETS2;PBX1;FOXA1;LEF1;KDM5B;MYB;POU3F2;CBFA2T2;TCF4;OVOL2,MYC;ATF2;SOX2;ELF3;FLI1;TCF12,REST;ZEB1;TEAD4;CEBPD;NEUROD1;KLF4;INSM1;NFKB1;TCF3;ATF2;SOX2;ASCL1;ETS2;PBX1;LEF1;MYB;FLI1;POU3F2;CBFA2T2;TCF4,BHLHE40;SMAD3;MYC;MITF;PAX5;SOX11;TCF7L2;FOXA2;FOXA1;ELF3;KDM5B;TCF12;OVOL2,0.393939394,0.606060606
