Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
EMT_2009,20,0.016280523,0.233348175,6,0.458414552,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a;miR200c;miR34a,miR200b;miR141;miR101,GSC;miR200a;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c,0.8,0.2
EMT_2010,20,0.128990243,0.436409008,4,0.688390971,GSC;SNAI1;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,TGFbeta;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;miR200a,GSC;FOXC2;miR200c;miR200b;miR34a;miR141;miR101,0.266666667,0.733333333
EMT_2401,24,0.11287789,0.53103999,4,0.704298076,GSC;TWIST1;TWIST2;miR200c;miR200b;miR34a;miR141;miR101,SNAI1;TGFbeta;ZEB1;SNAI2;ZEB2;FOXC2;miR200a,SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;TWIST2;miR200a;miR200c;miR200b;miR101,GSC;ZEB2;FOXC2;miR34a;miR141,0.533333333,0.466666667
EMT_2402,24,0.030578483,0.236951841,6,0.416846031,GSC;SNAI1;ZEB1;TWIST1;TWIST2;FOXC2;miR101,TGFbeta;SNAI2;ZEB2;miR200a;miR200c;miR200b;miR34a;miR141,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2,miR200a;miR200c;miR200b;miR34a;miR141;miR101,0.266666667,0.733333333
EMT_2403,24,0.08465907,0.306389483,4,0.500489159,GSC;SNAI1;TWIST1;SNAI2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141,TGFbeta;ZEB1;ZEB2;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a,miR200c;miR200b;miR34a;miR141;miR101,0.466666667,0.533333333
EMT_2404,24,0.008549766,0.37128755,7,0.539836319,GSC;SNAI1;TGFbeta;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR141,ZEB1;miR34a;miR101,SNAI1;TGFbeta;ZEB1;SNAI2;ZEB2;TWIST2;FOXC2;miR34a,GSC;TWIST1;miR200a;miR200c;miR200b;miR141;miR101,0.533333333,0.466666667
EMT_2405,24,0.036826103,0.28059587,7,0.362009893,GSC;SNAI1;ZEB1;ZEB2;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,TGFbeta;TWIST1;SNAI2,miR200c;miR200b;miR34a;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a;miR141,0.533333333,0.466666667
EMT_2406,24,0.139634522,0.446766357,4,0.663908479,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;ZEB2;TWIST2;FOXC2,SNAI2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200b,miR200a;miR200c;miR34a;miR141;miR101,0.133333333,0.866666667
EMT_2407,24,0.082828106,0.279018952,6,0.511949944,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141;miR101,SNAI2;ZEB2,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200c;miR101,miR200a;miR200b;miR34a;miR141,0.4,0.6
EMT_2408,24,0.06771927,0.43334511,4,0.740483275,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;TWIST2;FOXC2;miR200a,miR200c;miR200b;miR34a;miR141;miR101,TWIST2;FOXC2;miR200a;miR200c;miR200b;miR34a;miR141,GSC;SNAI1;TGFbeta;ZEB1;TWIST1;SNAI2;ZEB2;miR101,0.733333333,0.266666667
