Network,Mean PC1 Coefficient
EMT_060_25,21.32883262360273
EMT_060_26,22.981506856073516
EMT_060_27,26.17475227964787
EMT_060_28,26.917171400667318
EMT_060_29,20.797842710726208
EMT_060_30,27.774884753028697
EMT_060_31,27.581936336353905
EMT_060_32,21.729956229666293
EMT_060_33,14.45651570952584
EMT_060_34,25.48518890331426
EMT_060_35,27.713431676926263
EMT_060_36,20.493864006621315
EMT_060_37,20.486189549838787
EMT_060_38,23.508461038663167
EMT_060_39,24.429946381500198
EMT_060_40,31.119386834189747
EMT_060_41,31.199700612297754
EMT_060_42,27.82612387005316
EMT_060_43,25.96021194925727
EMT_060_44,30.76495737577693
EMT_060_45,20.383808063687276
EMT_060_46,21.75137695614977
EMT_060_47,23.369745322328505
EMT_060_48,19.090103797761167
EMT_060_49,23.02549131555359
EMT_060_50,28.45142246849965
EMT_070_01,26.135693670196005
EMT_070_02,19.450303047624217
EMT_070_03,24.776241945396325
EMT_070_04,19.11673461768403
EMT_070_05,33.410492350663986
EMT_070_06,24.53536550429957
EMT_070_07,29.388310068663
EMT_070_08,29.31412561757088
EMT_070_09,28.507245367312137
EMT_070_10,16.93216526391039
EMT_070_11,24.275911925119587
EMT_070_12,22.00302035909438
EMT_070_13,34.90619327015954
EMT_070_14,22.007355745751468
EMT_070_15,13.101979160386628
EMT_070_16,24.71361191647909
EMT_070_17,19.99051721099951
EMT_070_18,24.77575638170475
EMT_070_19,22.44649949326776
EMT_070_20,28.32226964260984
EMT_070_21,25.879504113555594
EMT_070_22,14.137199975511384
EMT_070_23,19.166658083185805
EMT_070_24,18.45490669612198
EMT_070_25,22.381953471455965
EMT_070_26,22.731629113257526
EMT_070_27,30.536535995142252
EMT_070_28,22.229317422575296
EMT_070_29,21.83470661625589
EMT_070_30,19.949688603103926
EMT_070_31,22.3517831778928
EMT_070_32,25.581019464720654
EMT_070_33,27.25398642720201
EMT_070_34,24.76540795230259
EMT_070_35,29.874006388957913
EMT_070_36,29.265888860030763
EMT_070_37,21.334250282833665
EMT_070_38,22.894435444648046
EMT_070_39,27.29489264751074
EMT_070_40,29.99147045540529
EMT_070_41,22.488574330300782
EMT_070_42,26.562776257260982
EMT_070_43,19.751039591382337
EMT_070_44,25.65795513313963
EMT_070_45,21.564947950561155
EMT_070_46,23.657040368707936
EMT_070_47,20.672081474519985
EMT_070_48,20.828349235231368
EMT_070_49,25.11110212113281
EMT_070_50,22.65506924095176
EMT_080_01,23.458003427747002
EMT_080_02,20.922226180526934
EMT_080_03,27.6070124169252
EMT_080_04,24.104050966982136
EMT_080_05,25.284205493740593
EMT_080_06,25.722062251314902
EMT_080_07,25.891010658661205
EMT_080_08,24.954694861693095
EMT_080_09,23.791099949053525
