GeneSetID,Genes
Alveolar Fibrotic- Epithelial,LAMB3
Alveolar Fibrotic- Epithelial,LAMC1
Alveolar Fibrotic- Epithelial,LAMC2
Alveolar Fibrotic- Epithelial,LAPTM4A
Alveolar Fibrotic- Epithelial,LGALS3
Alveolar Fibrotic- Epithelial,LIMS2
Alveolar Fibrotic- Epithelial,LMO7
Alveolar Fibrotic- Epithelial,LMTK2
Alveolar Fibrotic- Epithelial,LPCAT3
Alveolar Fibrotic- Epithelial,LRRN4
Alveolar Fibrotic- Epithelial,MALAT1
Alveolar Fibrotic- Epithelial,MAP2
Alveolar Fibrotic- Epithelial,MAP7D1
Alveolar Fibrotic- Epithelial,MATN3
Alveolar Fibrotic- Epithelial,MGAT3
Alveolar Fibrotic- Epithelial,MGLL
Alveolar Fibrotic- Epithelial,MS4A15
Alveolar Fibrotic- Epithelial,MSLN
Alveolar Fibrotic- Epithelial,MT1E
Alveolar Fibrotic- Epithelial,MT1X
Alveolar Fibrotic- Epithelial,MT2A
Alveolar Fibrotic- Epithelial,MVB12B
Alveolar Fibrotic- Epithelial,MYL12A
Alveolar Fibrotic- Epithelial,MYL12B
Alveolar Fibrotic- Epithelial,MYL6
Alveolar Fibrotic- Epithelial,MYL9
Alveolar Fibrotic- Epithelial,MYO1B
Alveolar Fibrotic- Epithelial,MYO1C
Alveolar Fibrotic- Epithelial,MYRF
Alveolar Fibrotic- Epithelial,N4BP1
Alveolar Fibrotic- Epithelial,NBEAL2
Alveolar Fibrotic- Epithelial,NCKAP5
Alveolar Fibrotic- Epithelial,NDNF
Alveolar Fibrotic- Epithelial,NDST1
Alveolar Fibrotic- Epithelial,NEAT1
Alveolar Fibrotic- Epithelial,NEDD4L
Alveolar Fibrotic- Epithelial,NEDD9
Alveolar Fibrotic- Epithelial,NEXN
Alveolar Fibrotic- Epithelial,NGF
Alveolar Fibrotic- Epithelial,NHSL1
Alveolar Fibrotic- Epithelial,NTM
Alveolar Fibrotic- Epithelial,NXN
Alveolar Fibrotic- Epithelial,OPN3
Alveolar Fibrotic- Epithelial,OSGIN1
Alveolar Fibrotic- Epithelial,OSGIN2
Alveolar Fibrotic- Epithelial,OTUD1
Alveolar Fibrotic- Epithelial,P3H2
Alveolar Fibrotic- Epithelial,P4HA2
Alveolar Fibrotic- Epithelial,PAPSS2
Alveolar Fibrotic- Epithelial,PARD6B
Alveolar Fibrotic- Epithelial,PARP14
Alveolar Fibrotic- Epithelial,PAX8-AS1
Alveolar Fibrotic- Epithelial,PCYOX1
Alveolar Fibrotic- Epithelial,PDGFA
Alveolar Fibrotic- Epithelial,PDLIM3
Alveolar Fibrotic- Epithelial,PDPN
Alveolar Fibrotic- Epithelial,PDZD2
Alveolar Fibrotic- Epithelial,PEAK1
Alveolar Fibrotic- Epithelial,PEBP4
Alveolar Fibrotic- Epithelial,PFKFB3
Alveolar Fibrotic- Epithelial,PGM1
Alveolar Fibrotic- Epithelial,PHLDB2
Alveolar Fibrotic- Epithelial,PIEZO1
Alveolar Fibrotic- Epithelial,PKDCC
Alveolar Fibrotic- Epithelial,PLAC8
Alveolar Fibrotic- Epithelial,PLCE1
Alveolar Fibrotic- Epithelial,PLEKHA1
Alveolar Fibrotic- Epithelial,PLEKHO1
Alveolar Fibrotic- Epithelial,PLLP
Alveolar Fibrotic- Epithelial,PLS3
Alveolar Fibrotic- Epithelial,PNPLA2
Alveolar Fibrotic- Epithelial,POLR2L
Alveolar Fibrotic- Epithelial,PON2
Alveolar Fibrotic- Epithelial,PPFIBP1
Alveolar Fibrotic- Epithelial,PPP1R15A
Alveolar Fibrotic- Epithelial,PRDX1
