Network,Mean PC1 Coefficient
04R090_05,19.095018910555986
04R090_06,24.863928162343846
04R090_07,26.310957591315415
04R090_08,26.18955853112634
04R090_09,25.401112875163776
04R090_10,25.873491754584432
04R100_01,22.566526933658572
04R100_02,22.54977793990779
04R100_03,19.98683367149698
04R100_04,25.432695378799497
04R100_05,22.979904047346498
04R100_06,18.71731365620495
04R100_07,28.73921166050681
04R100_08,17.94685575398014
04R100_09,19.248097915112137
04R100_10,21.232467293638543
05R000_00,35.4275955428598
05R010_01,29.204747887889333
05R010_02,28.724320217639356
05R010_03,33.40113662655405
05R010_04,29.734136505589987
05R010_05,30.997486259259666
05R010_06,25.46986427367379
05R010_07,20.320151327027887
05R010_08,27.816434828161007
05R010_09,28.051350877403994
05R010_10,28.397143064550356
05R020_01,25.119056048940056
05R020_02,31.025037249011465
05R020_03,25.174883868812792
05R020_04,24.95777888010432
05R020_05,24.84897216090962
05R020_06,24.2553742441431
05R020_07,22.531309635417912
05R020_08,23.442992210378414
05R020_09,21.35158367827604
05R020_10,25.50846484509229
05R030_01,26.810846796773934
05R030_02,30.95610490246841
05R030_03,16.04773920338563
05R030_04,24.40938675209095
05R030_05,23.82851068954603
05R030_06,22.199459289130157
05R030_07,23.805077470884193
05R030_08,23.461578538510377
05R030_09,23.71769837046252
05R030_10,25.971927631778016
05R040_01,23.50818748815356
05R040_02,29.48711584124479
05R040_03,30.335447564738946
05R040_04,31.318341375777024
05R040_05,25.976399716469295
05R040_06,24.946528391879923
05R040_07,27.4052958925116
05R040_08,22.06517956582867
05R040_09,24.430585336527553
05R040_10,21.81734918685998
05R050_01,25.507356427203277
05R050_02,20.376029279606108
05R050_03,21.145129608458205
05R050_04,20.27628371335107
05R050_05,20.373256280817735
05R050_06,20.323327126649243
05R050_07,26.14639393773998
05R050_08,26.697620092988515
05R050_09,24.71879086847509
05R050_10,26.562012018451245
05R060_01,23.126779497524154
05R060_02,22.593270807357875
05R060_03,19.09069789577316
05R060_04,30.735310189950376
05R060_05,20.55797623852647
05R060_06,23.52980748489349
05R060_07,26.396664535430972
05R060_08,20.484249546778038
05R060_09,24.89789331399909
05R060_10,24.267283251001814
