Network,Number of Swaps,PC1 Variance,Influence Team Strength,Total Number of Swaps,Number of PCs
GON_020_16,10,0.4690537867107329,0.0417584283766078,20,7
GON_020_17,10,0.4325133425878364,0.0278784939029763,20,7
GON_020_18,10,0.5177321158897542,0.0707428243344309,20,7
GON_020_19,10,0.7154834436691296,0.0875431199009362,20,5
GON_020_20,10,0.5715769499483312,0.0613291145556095,20,5
GON_020_21,10,0.4925747632566491,0.128033181341946,20,5
GON_020_22,10,0.6509524556388241,0.1316210423280257,20,7
GON_020_23,10,0.5312400037623747,0.1011330266132345,20,7
GON_020_24,10,0.5097168606772972,0.0635555929069516,20,7
GON_020_25,10,0.4929396925843085,0.1535626960940073,20,5
GON_020_26,10,0.4426215947898296,0.0574176975915674,20,5
GON_020_27,10,0.6580656943399573,0.0723688734551706,20,5
GON_020_28,10,0.5276707229482424,0.1158428101000414,20,7
GON_020_29,10,0.5719053568565393,0.0546513456220279,20,7
GON_020_30,10,0.6019887895958486,0.0440752228802269,20,7
GON_020_31,10,0.5517777176540892,0.0864489221126758,20,6
GON_020_32,10,0.3787974825322049,0.0463478626843687,20,6
GON_020_33,10,0.6709623965698365,0.1239241868631478,20,6
GON_020_34,10,0.527829881855075,0.1005418207327259,20,7
GON_020_35,10,0.4344213818007329,0.0532668927105019,20,7
GON_020_36,10,0.5497875413788286,0.0466895477327928,20,7
GON_020_37,10,0.696849633471816,0.1136216453983239,20,7
GON_020_38,10,0.4469819582353822,0.0428316722503037,20,7
GON_020_39,10,0.4295505893446885,0.0583582791075387,20,7
GON_020_40,10,0.5995636508995893,0.1556584293970068,20,7
GON_020_41,10,0.3583332514852859,0.0529870178867703,20,7
GON_020_42,10,0.3564533316107802,0.0177336592626943,20,7
GON_020_43,10,0.3917957790205192,0.0352773149796883,20,7
GON_020_44,10,0.4796179576654425,0.0570652990817139,20,7
GON_020_45,10,0.4724627626818883,0.0649832568793649,20,7
GON_020_46,10,0.4160882047243213,0.0740596077104054,20,8
GON_020_47,10,0.534790239055113,0.0345196397698312,20,8
GON_020_48,10,0.5866119247183931,0.0847490639457148,20,8
GON_020_49,10,0.5654928152759203,0.0774948982936208,20,6
GON_020_50,10,0.507716655286321,0.0496038906696382,20,6
GON_030_01,15,0.5809924084675644,0.120631239842545,30,6
GON_030_02,15,0.4711716992332379,0.0471289741441064,30,7
GON_030_03,15,0.4716516767749596,0.0525549097089475,30,7
GON_030_04,15,0.6499596935585386,0.0767988410052146,30,7
GON_030_05,15,0.5427416043286667,0.03978430625939,30,7
GON_030_06,15,0.5070223135972656,0.0611007245310402,30,7
GON_030_07,15,0.552401972639912,0.0632380573087621,30,7
GON_030_08,15,0.7242584841981768,0.1427169313219872,30,6
GON_030_09,15,0.4791804459531876,0.0290126288491653,30,6
GON_030_10,15,0.4389343666697987,0.0287888984759252,30,6
GON_030_11,15,0.503383287745098,0.0237405327688958,30,6
GON_030_12,15,0.5336125803231254,0.0303455179449512,30,6
GON_030_13,15,0.6077232600616874,0.0568842146424265,30,6
GON_030_14,15,0.554833677265182,0.0831056873170998,30,7
GON_030_15,15,0.5534013503080115,0.0318327251439386,30,7
GON_030_16,15,0.4883026238791816,0.0423277937958575,30,7
GON_030_17,15,0.4830746133366308,0.0902671703618584,30,7
GON_030_18,15,0.4247021682750214,0.0518032030874878,30,7
GON_030_19,15,0.5467457336541935,0.0480379584296518,30,7
GON_030_20,15,0.4825199998821187,0.0836146582733003,30,7
GON_030_21,15,0.6339518075216165,0.0896708959913258,30,7
GON_030_22,15,0.5645609506303307,0.0391844725580006,30,7
GON_030_23,15,0.4738469850951015,0.087971546811142,30,6
GON_030_24,15,0.4409168117331657,0.0785386688816214,30,6
GON_030_25,15,0.4631552073018889,0.0482571734222454,30,6
GON_030_26,15,0.4521606028050979,0.0595052897468103,30,8
GON_030_27,15,0.4594684450768658,0.0467200088051715,30,8
GON_030_28,15,0.6179723624368897,0.084374110639684,30,8
GON_030_29,15,0.4229866738104533,0.0158914328645953,30,7
GON_030_30,15,0.4617092300586858,0.033151624576451,30,7
GON_030_31,15,0.6038858227599024,0.0404699402746396,30,7
GON_030_32,15,0.3633305793174168,0.0578752716156052,30,6
GON_030_33,15,0.4719577173243083,0.0226003483826697,30,6
GON_030_34,15,0.3911105759615598,0.0336412896861012,30,6
GON_030_35,15,0.3702252371753154,0.0262537911383089,30,6
GON_030_36,15,0.4912759806029821,0.0530814384825144,30,6
GON_030_37,15,0.3626976223152154,0.040607434078697,30,6
GON_030_38,15,0.6482020084536847,0.0848766662860353,30,6
GON_030_39,15,0.3658188268197038,0.0232116000253954,30,6
