Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,PC1 Variance,Number of PCs,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
30R070_05,70,0.033575065,0.164436778,0.414264549,7.0,ZEB2;ZEB1;TWIST2;miR200c;TWIST1;miR141;miR200a;miR200b;miR34a;SNAI2,miR101;GSC;FOXC2;SNAI1;TGFbeta,miR101;miR200c;TWIST1;miR200b;miR34a,ZEB2;GSC;FOXC2;ZEB1;TWIST2;miR141;miR200a;SNAI1;TGFbeta;SNAI2,0.4666666666666667,0.5333333333333333
30R070_06,70,0.066580029,0.300215268,0.468255949,5.0,ZEB2;miR101;GSC;ZEB1;TWIST2;miR200a;miR200b;TGFbeta;SNAI2,FOXC2;miR200c;TWIST1;miR141;SNAI1;miR34a,ZEB2;miR101;FOXC2;ZEB1;TWIST2;miR200a;miR200b;TGFbeta;SNAI2,GSC;miR200c;TWIST1;miR141;SNAI1;miR34a,0.1333333333333333,0.8666666666666667
30R070_07,70,0.019525294,0.23622436,0.469013643,6.0,ZEB2;FOXC2;TWIST1;miR141;TGFbeta;miR34a;SNAI2,miR101;GSC;ZEB1;TWIST2;miR200c;miR200a;SNAI1;miR200b,ZEB2;GSC;FOXC2;miR200c;TWIST1;miR141;miR34a,miR101;ZEB1;TWIST2;miR200a;SNAI1;miR200b;TGFbeta;SNAI2,0.2666666666666666,0.7333333333333333
30R070_08,70,0.015855362,0.246323711,0.320545331,8.0,ZEB2;miR101;TWIST2;miR200c;TWIST1;miR200a;miR200b;miR34a;SNAI2,GSC;FOXC2;ZEB1;miR141;SNAI1;TGFbeta,ZEB2;ZEB1;TWIST2;TWIST1;miR200a;SNAI1;miR34a;SNAI2,miR101;GSC;FOXC2;miR200c;miR141;miR200b;TGFbeta,0.3333333333333333,0.6666666666666666
30R070_09,70,0.0494269,0.234220546,0.421987083,7.0,ZEB2;miR101;FOXC2;TWIST2;miR200c;miR141;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,GSC;ZEB1;TWIST1;miR200a,ZEB2;miR101;FOXC2;TWIST1;SNAI1;TGFbeta;SNAI2,GSC;ZEB1;TWIST2;miR200c;miR141;miR200a;miR200b;miR34a,0.4,0.6
30R070_10,70,0.046084124,0.17273105,0.310872228,8.0,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR141;miR200a;SNAI1;miR34a,miR200b;TGFbeta;SNAI2,ZEB1;miR200a;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,ZEB2;miR101;GSC;FOXC2;TWIST2;miR200c;TWIST1;miR141,0.7333333333333333,0.2666666666666666
30R080_01,80,0.06414186,0.247156112,0.436467398,6.0,ZEB2;ZEB1;miR200c;SNAI2,miR101;GSC;FOXC2;TWIST2;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a,FOXC2;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta,ZEB2;miR101;GSC;ZEB1;TWIST2;miR200c;miR34a;SNAI2,0.7333333333333333,0.2666666666666666
30R080_02,80,0.097758558,0.263438331,0.620887798,4.0,ZEB2;FOXC2;TWIST1;miR141;miR200a;SNAI1;miR200b;miR34a;SNAI2,miR101;GSC;ZEB1;TWIST2;miR200c;TGFbeta,miR101;GSC;FOXC2;TWIST2;miR200c;miR141;miR200a;TGFbeta,ZEB2;ZEB1;TWIST1;SNAI1;miR200b;miR34a;SNAI2,0.7333333333333333,0.2666666666666666
30R080_03,80,0.030065265,0.35776002,0.397361779,6.0,ZEB2;miR101;GSC;FOXC2;miR200c;TWIST1;miR141;miR34a;SNAI2,ZEB1;TWIST2;miR200a;SNAI1;miR200b;TGFbeta,miR101;FOXC2;ZEB1;TWIST2;TWIST1;miR141;miR200a;SNAI1;TGFbeta;SNAI2,ZEB2;GSC;miR200c;miR200b;miR34a,0.6,0.4
30R080_04,80,0.059827185,0.373280277,0.549652983,5.333333333,ZEB2;miR101;FOXC2;miR200c;SNAI1;miR200b,GSC;ZEB1;TWIST2;TWIST1;miR141;miR200a;TGFbeta;miR34a;SNAI2,ZEB2;FOXC2;miR200c;TWIST1;SNAI1;miR200b,miR101;GSC;ZEB1;TWIST2;miR141;miR200a;TGFbeta;miR34a;SNAI2,0.1333333333333333,0.8666666666666667
